Code,Canonical_pattern,Num_repos,Definition,Exemplars,Repos
CM-01,Tiered context tree,17,"Three-tier layout: Tier-1 root always-loaded identity/rules, Tier-2 index that maps where info lives, Tier-3 just-in-time content files pulled only when relevant.","Digidai/product-manager-skills: root skill = tier-1 router, 7 intent tables = tier-2 index, knowledge/*.md = tier-3 lazy content  •  garrytan/gbrain: always-loaded core + index + pgvector/pglite content store as the three tiers  •  anthropics/skills: SKILL.md frontmatter (tier-2 summary) drilled into bundled references/ on match","Digidai/product-manager-skills, aakashg/pm-claude-code-setup, bmad-code-org/BMAD-METHOD, automazeio/ccpm, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, wshobson/agents, AgriciDaniel/claude-seo, anthropics/skills"
CM-02,Root instruction file,36,"A CLAUDE.md / AGENTS.md at the root encoding identity, operating rules, and output standards loaded every session.",amanaiproduct/personal-os: AGENTS.md encodes identity + config.yaml-backed priority caps as operating rules  •  aakashg/pm-claude-code-setup: CLAUDE.md doubles as identity file and the in-context persona-swap table  •  modimihir07/agentic-os: constitution-style CLAUDE.md wires cost-consciousness as a governing principle,"phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, amanaiproduct/personal-os, Digidai/product-manager-skills, assimovt/productskills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, github/spec-kit, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, alirezarezvani/claude-skills, wshobson/agents, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/claude-plugins-official"
CM-03,Always-loaded core facts,16,A tiny token-budgeted 'critical facts' preamble loaded into every session as durable grounding.,"shawnpang/startup-founder-skills: every skill must declare reads:[startup-context] so core facts are guaranteed loaded first  •  coleam00/second-brain-starter: small curated MEMORY.md is the always-loaded tier, kept lean by promotion pipeline  •  Digidai/product-manager-skills: visible-recall convention surfaces reused core facts inline for correction","product-on-purpose/pm-skills, amanaiproduct/personal-os, Digidai/product-manager-skills, shawnpang/startup-founder-skills, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, huytieu/COG-second-brain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, modimihir07/agentic-os, alirezarezvani/claude-skills, coreyhaines31/marketingskills"
CM-04,Just-in-time / lazy retrieval,29,Store IDs/keys/links/placeholders and load full objects only at runtime when actually needed.,"anthropics/knowledge-work-plugins: ~~category placeholder tokens resolved to concrete MCP servers only at runtime via CONNECTORS.md  •  Fission-AI/OpenSpec: agent calls `openspec instructions --json` to pull the exact template/path for the current step  •  automazeio/ccpm: GitHub issue numbers stored as keys, full task body fetched via gh CLI on demand","anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, Digidai/product-manager-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, iusztinpaul/ai-research-os-workshop, VoltAgent/awesome-claude-code-subagents, rohitg00/awesome-claude-code-toolkit, coreyhaines31/marketingskills, agentii-ai/growth-hacking-kit, anthropics/skills, anthropics/claude-plugins-official"
CM-05,Progressive disclosure / context drilling,24,"Load skill frontmatter or summaries first, drill into full content only once a match is established.","anthropics/skills: description-match loads SKILL.md, then bundled references/ are pulled only on demand  •  Digidai/product-manager-skills: intent table match → load named file → locate named sub-section  •  Fission-AI/OpenSpec: CLI gates dependency order so the agent only sees the next artifact's instructions","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, Digidai/product-manager-skills, shawnpang/startup-founder-skills, aakashg/pm-claude-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, automazeio/ccpm, github/spec-kit, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, garrytan/gbrain, garrytan/gstack, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, wshobson/agents, rohitg00/awesome-claude-code-toolkit, AgriciDaniel/claude-seo, anthropics/skills"
CM-06,Context firewall,15,A subagent returns a compact summary to the main thread; its raw working output never enters the parent context.,automazeio/ccpm: worker agents do heavy work in isolation and return only a concise status to the main thread  •  github/spec-kit: the negative case — fork machinery left OFF precisely because /analyze's report defeated summary-collapse  •  gsd-build/get-shit-done: breadcrumb subprocess records state without polluting the main stream,"itseffi/personal-os, slgoodrich/agents, automazeio/ccpm, github/spec-kit, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, huytieu/COG-second-brain, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), coleam00/second-brain-starter, iusztinpaul/ai-research-os-workshop, wshobson/agents, rohitg00/awesome-claude-code-toolkit, anthropics/skills"
CM-07,Fresh-context subagent / one-task-one-session,10,Spawn a clean context for heavy or independent work so the main session stays uncluttered.,"sdi2200262/agentic-project-management: stateless executors boot fresh, read .apm/ state, act, write back — hot-swappable  •  smixs/agent-second-brain: scheduled jobs spawn isolated sub-sessions off one long-lived host session  •  anthropics/skills: skill-creator runs N fresh test invocations to observe independent behavior","github/spec-kit, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, garrytan/gstack, gsd-build/get-shit-done, coleam00/second-brain-starter, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, anthropics/skills"
CM-08,Document-handoff chain,33,Each step writes an artifact the next step reads — the document is the baton passed down the pipeline.,"jinjin1/Cursor-for-Product-Managers: ordered sibling folders where skill N reads folder N and writes folder N+1  •  snarktank/ai-dev-tasks: PRD doc → tasks doc → implementation, each a fenced template the next clones  •  nanagajui/agentic_prd: every expected_output is explicitly written FOR the downstream coding agent to consume","phuryn/pm-skills, deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, Digidai/product-manager-skills, pratikshadake/claude-product-management-skills, slgoodrich/agents, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, snarktank/ai-dev-tasks, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/skills"
CM-09,Session-handoff / journal file,16,A HANDOFF.md-style continuity doc carries working knowledge across sessions or compaction boundaries.,sdi2200262/agentic-project-management: per-agent handoff.md channel carries continuity to the next instance  •  alirezarezvani/claude-skills: cs-handoff-author runs a redaction linter before persisting the continuity doc  •  gsd-build/get-shit-done: pre-exhaustion breadcrumb snapshot written for session recovery,"product-on-purpose/pm-skills, amanaiproduct/personal-os, slgoodrich/agents, aakashg/pm-claude-code-setup, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, AgriciDaniel/claude-seo"
CM-10,Spec/PRD-as-source-of-truth,28,A written spec or PRD is the durable context artifact agents execute against.,github/spec-kit: the spec is the canonical artifact; commands gate work against it  •  rodrigorjsf/prd-generator-plugin: the finalized PRD is compiled into project-local guardrail skills  •  eyaltoledano/claude-task-master: parse-prd turns the spec into the task graph everything executes from,"phuryn/pm-skills, product-on-purpose/pm-skills, Digidai/product-manager-skills, shawnpang/startup-founder-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, nanagajui/agentic_prd, bmad-code-org/BMAD-METHOD, automazeio/ccpm, github/spec-kit, snarktank/ai-dev-tasks, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), coleam00/second-brain-starter, coreyhaines31/marketingskills, agentii-ai/growth-hacking-kit, anthropics/claude-plugins-official"
CM-11,Folder-per-change / artifact lifecycle state machine,8,Propose/apply/archive style change folders whose presence and location encode lifecycle state.,Fission-AI/OpenSpec: the whole propose/apply/archive machine is declared in a versioned YAML schema and run by a DAG resolver  •  jinjin1/Cursor-for-Product-Managers: ordered discovery subfolders where file presence/absence defines OST position  •  amanaiproduct/personal-os: change folders carry task aging + prune-completed lifecycle rules,"itseffi/personal-os, amanaiproduct/personal-os, jinjin1/Cursor-for-Product-Managers, automazeio/ccpm, sdi2200262/agentic-project-management, Fission-AI/OpenSpec, buildermethods/agent-os, agentii-ai/growth-hacking-kit"
CM-12,Living wiki / LLM-maintained KB,11,An agent continuously turns raw notes into an interlinked KB and self-rewrites/lints it (Karpathy LLM-Wiki).,"eugeniughelbur/obsidian-second-brain: ingestion is only 'successful' if it rewrote existing pages, not appended  •  huytieu/COG-second-brain: raw notes accreted into interlinked person/topic profiles  •  iusztinpaul/ai-research-os-workshop: research notes folded into a corroboration-gated KB graph","rodrigorjsf/prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, rohitg00/awesome-claude-code-toolkit, anthropics/claude-plugins-official"
CM-13,Knowledge-graph memory,7,"Typed edges between entities, hybrid vector+keyword retrieval, synthesis that returns the answer rather than raw chunks.",garrytan/gbrain: pgvector graph with hybrid retrieval behind one generated ops contract  •  ruvnet/claude-flow: addressed swarm/* memory key-space acts as a blackboard graph for coordination  •  modimihir07/agentic-os: typed-edge memory graph consolidated on a schedule,"msitarzewski/agency-agents, cdeust/ai-prd-generator-plugin, garrytan/gbrain, garrytan/gstack, ruvnet/claude-flow (rebranded ""ruflo""), smixs/agent-second-brain, modimihir07/agentic-os"
CM-14,DB-backed persistent memory,14,Memory stored outside the context window in a database (SQLite FTS5 / pgvector / Postgres / issue tracker).,"garrytan/gbrain: pluggable pglite (local WASM Postgres) vs Supabase+pgvector behind one engine contract  •  automazeio/ccpm: GitHub Issues IS the durable task DB, round-tripped via gh CLI  •  garrytan/gstack: decisions.jsonl decision journal queried before re-deciding","msitarzewski/agency-agents, automazeio/ccpm, eyaltoledano/claude-task-master, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), coleam00/second-brain-starter, modimihir07/agentic-os, alirezarezvani/claude-skills, wshobson/agents, AgriciDaniel/claude-seo"
CM-15,Memory tiering with decay,5,"Memory organized into decay tiers (core/active/warm/cold/archive), often Ebbinghaus-style, that age out over time.","smixs/agent-second-brain: any access promotes a card exactly one tier (graduated spaced-repetition), strength=1+ln(n)  •  garrytan/gbrain: tiered store with decay feeding the retrieval ranker  •  modimihir07/agentic-os: core/active/warm/cold/archive tiers with scheduled aging","garrytan/gbrain, garrytan/gstack, smixs/agent-second-brain, modimihir07/agentic-os, alirezarezvani/claude-skills"
CM-16,Memory consolidation / periodic reconciliation,9,"A scheduled pass merges, dedups, and clusters accumulated memory.",coleam00/second-brain-starter: heartbeat pass promotes material items from append-only daily logs into curated MEMORY.md  •  huytieu/COG-second-brain: periodic merge/dedup of accreted profiles  •  modimihir07/agentic-os: scheduled cluster/reconcile of the memory graph,"huytieu/COG-second-brain, garrytan/gbrain, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills"
CM-17,Provenance & citations,10,Source-linked claims with confidence levels attached to stored or generated knowledge.,"rodrigorjsf/prd-generator-plugin: generated guardrails cite RF-/DR-/ADR- requirement IDs verbatim  •  iusztinpaul/ai-research-os-workshop: KB nodes carry source links and corroboration counts  •  gsd-build/get-shit-done: briefs must quote predicate IDs from CONTEXT.md, no paraphrase","slgoodrich/agents, rodrigorjsf/prd-generator-plugin, huytieu/COG-second-brain, garrytan/gbrain, gsd-build/get-shit-done, eugeniughelbur/obsidian-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, AgriciDaniel/claude-seo"
CM-18,Bi-temporal facts,2,Facts track valid-time (when true in the world) separately from ingest-time (when recorded).,garrytan/gbrain: facts carry valid-time vs ingest-time for time-aware retrieval  •  eugeniughelbur/obsidian-second-brain: vault tracks when a fact held vs when it was logged,"garrytan/gbrain, eugeniughelbur/obsidian-second-brain"
CM-19,Lifecycle / compaction hooks,11,"SessionStart/PreCompact/SessionEnd/PreToolUse hooks fire to persist, gate, or steer state across the session lifecycle.","anombyte93/prd-taskmaster: PreToolUse hook denies advance_phase unless typed evidence is satisfied (gate, not just persistence)  •  gsd-build/get-shit-done: PostToolUse hook injects context-budget advisories into the agent's own stream  •  eugeniughelbur/obsidian-second-brain: SessionStart injector forbids ls/Glob discovery by pre-injecting the curated map","product-on-purpose/pm-skills, anombyte93/prd-taskmaster, rodrigorjsf/prd-generator-plugin, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, modimihir07/agentic-os, alirezarezvani/claude-skills, rohitg00/awesome-claude-code-toolkit"
CM-20,Structured inter-agent context passing,16,A typed payload (context_packet JSON) is handed between agents as the unit of context transfer.,"VoltAgent/awesome-claude-code-subagents: every agent emits a fixed {request_type,payload.query} block of role-needed facts before acting  •  msitarzewski/agency-agents: artifacts tagged with the intended receiver agent's name in shared memory (addressed pub/sub)  •  sdi2200262/agentic-project-management: file-based message bus with task/report/handoff channels per agent","product-on-purpose/pm-skills, slgoodrich/agents, msitarzewski/agency-agents, nanagajui/agentic_prd, anombyte93/prd-taskmaster, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, Fission-AI/OpenSpec, ruvnet/claude-flow (rebranded ""ruflo""), iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, VoltAgent/awesome-claude-code-subagents, rohitg00/awesome-claude-code-toolkit, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo"
CM-21,Self-evolving / delta-aware docs,10,"A command updates existing docs in place when something changes (e.g. /prd-evolve), rather than re-authoring from scratch.",rodrigorjsf/prd-generator-plugin: prd_version stamps let generated guardrails auto-detect drift from their source PRD  •  eugeniughelbur/obsidian-second-brain: ingest merges deltas into integrated narratives across pages  •  Fission-AI/OpenSpec: change artifacts evolve the spec via the declared apply block,"slgoodrich/agents, aakashg/pm-claude-code-setup, bmad-code-org/BMAD-METHOD, rodrigorjsf/prd-generator-plugin, Fission-AI/OpenSpec, huytieu/COG-second-brain, eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop"
CM-22,Constitution / governance doc,18,Non-negotiable principles encoded as an anti-drift gate the work is checked against.,agentii-ai/growth-hacking-kit: constitution defines hard numeric thresholds wired as execution-halting gates  •  modimihir07/agentic-os: Cost Consciousness is a constitutional principle pinning all agents to free models  •  github/spec-kit: constitution principles gate every command,"deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, itseffi/personal-os, Digidai/product-manager-skills, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, nanagajui/agentic_prd, github/spec-kit, anombyte93/prd-taskmaster, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, Fission-AI/OpenSpec, garrytan/gbrain, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), coleam00/second-brain-starter, modimihir07/agentic-os, agentii-ai/growth-hacking-kit"
CM-23,Goal-anchored state,12,A GOALS.md / BACKLOG.md drives prioritization and relevance scoring of work.,amanaiproduct/personal-os: P0<=3 / P1<=7 priority caps turn the backlog into a fixed-size working set  •  eyaltoledano/claude-task-master: next-task surfaces the next unblocked goal-anchored item  •  sdi2200262/agentic-project-management: tracker/plan files anchor what every agent prioritizes,"product-on-purpose/pm-skills, itseffi/personal-os, amanaiproduct/personal-os, slgoodrich/agents, snarktank/ai-dev-tasks, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, buildermethods/agent-os, huytieu/COG-second-brain, gsd-build/get-shit-done, coleam00/second-brain-starter, modimihir07/agentic-os"
CM-24,Context-scaffolding setup,16,A command writes N starter context files into a fixed folder (e.g. .claude/product-context/) to bootstrap a project.,slgoodrich/agents: pm-setup writes 2 required files + prints a stage map; remaining files accrued by stage agents as the journey runs  •  buildermethods/agent-os: project-install resolves an inherits_from profile chain and copies standards down  •  github/spec-kit: init scaffolds the .specify/ context tree,"phuryn/pm-skills, amanaiproduct/personal-os, shawnpang/startup-founder-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, bmad-code-org/BMAD-METHOD, github/spec-kit, rodrigorjsf/prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, garrytan/gbrain, garrytan/gstack, coleam00/second-brain-starter, alirezarezvani/claude-skills, coreyhaines31/marketingskills"
CM-25,Index / map file,34,"An explicit index of where knowledge lives, used for retrieval without a vector DB.",Digidai/product-manager-skills: 7 intent→framework→file tables are the retrieval index keyed on natural-language intent  •  gsd-build/get-shit-done: CONTEXT.md greppable predicate registry indexed by atomic ID  •  eugeniughelbur/obsidian-second-brain: injected index.md/log.md map replaces filesystem discovery,"deanpeters/Product-Manager-Skills, product-on-purpose/pm-skills, anthropics/knowledge-work-plugins (product-management plugin), itseffi/personal-os, amanaiproduct/personal-os, Digidai/product-manager-skills, shawnpang/startup-founder-skills, slgoodrich/agents, aakashg/pm-claude-code-setup, jinjin1/Cursor-for-Product-Managers, msitarzewski/agency-agents, bmad-code-org/BMAD-METHOD, automazeio/ccpm, snarktank/ai-dev-tasks, sdi2200262/agentic-project-management, rodrigorjsf/prd-generator-plugin, cdeust/ai-prd-generator-plugin, Fission-AI/OpenSpec, buildermethods/agent-os, huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, wshobson/agents, coreyhaines31/marketingskills, zubair-trabzada/ai-marketing-claude, AgriciDaniel/claude-seo, agentii-ai/growth-hacking-kit, anthropics/skills, anthropics/claude-plugins-official"
CM-26,People/entity CRM,5,Tiered-enrichment person/entity profiles maintained as a relationship store.,huytieu/COG-second-brain: profile tier (stub→moderate→full) is a pure function of cross-source mention count  •  garrytan/gstack: developer-profile.json self-models the operator's taste/risk/autonomy to tune agent pacing  •  garrytan/gbrain: tiered person profiles in the brain store,"huytieu/COG-second-brain, garrytan/gbrain, garrytan/gstack, smixs/agent-second-brain, modimihir07/agentic-os"
CM-27,Capture loop,18,An end-of-session 'what did we learn' pass folds new learnings back into context.,coleam00/second-brain-starter: append-everything daily log then heartbeat promotion is the capture loop  •  amanaiproduct/personal-os: session traces parsed into graded eval artifacts as a meta-feedback loop  •  garrytan/gstack: settled decisions captured to decisions.jsonl for forward reuse,"itseffi/personal-os, amanaiproduct/personal-os, slgoodrich/agents, aakashg/pm-claude-code-setup, eyaltoledano/claude-task-master, sdi2200262/agentic-project-management, garrytan/gbrain, garrytan/gstack, gsd-build/get-shit-done, ruvnet/claude-flow (rebranded ""ruflo""), eugeniughelbur/obsidian-second-brain, coleam00/second-brain-starter, smixs/agent-second-brain, modimihir07/agentic-os, iusztinpaul/ai-research-os-workshop, alirezarezvani/claude-skills, rohitg00/awesome-claude-code-toolkit, anthropics/claude-plugins-official"
CM-28,Markdown-traversal-over-RAG,6,Wikilinks and file traversal substitute for vector retrieval as the knowledge-navigation method.,eugeniughelbur/obsidian-second-brain: Obsidian wikilink graph traversed instead of vector search  •  iusztinpaul/ai-research-os-workshop: mutual-link graph navigated by following references  •  rohitg00/awesome-claude-code-toolkit: file/path references compose context without RAG,"amanaiproduct/personal-os, garrytan/gbrain, eugeniughelbur/obsidian-second-brain, smixs/agent-second-brain, iusztinpaul/ai-research-os-workshop, rohitg00/awesome-claude-code-toolkit"
CM-29,Tool-agnostic connector indirection,1,"Skills address an abstract capability CATEGORY (e.g. ~~tracker, ~~chat); a separate resolver table binds the category to whatever MCP server the user actually connected, so one skill body is portable across competing tools.",anthropics/knowledge-work-plugins: every SKILL.md uses ~~category tokens; CONNECTORS.md holds the Category|placeholder|servers table; .mcp.json binds categories to concrete remote MCP endpoints,anthropics/knowledge-work-plugins (product-management plugin)
CM-30,Self-eval / routing eval harness,2,"A graded eval that empirically measures the OS's own behavior — skill-routing accuracy, memory contribution, or agent-session quality — against labeled cases with a min-pass-rate CI gate.","itseffi/personal-os: run_routing_evals.py grades whether the dispatcher picked the right skill against labeled routing_cases.json  •  itseffi/personal-os: run_memory_impact_evals.py A/B-tests whether memory search changes the answer (phrase-subset test)  •  amanaiproduct/personal-os: trace_parser/trace_to_eval turn ~/.claude session JSONL into axial-coded, human-annotatable eval cards","itseffi/personal-os, amanaiproduct/personal-os"
CM-31,Externalized state-tree executors,4,"100% of project state lives in an external file tree (.apm/, .gstack/, issue tracker); agents hold no durable state and are hot-swappable by construction — coordinating through a filesystem message bus or addressed memory blackboard rather than direct handoff.","sdi2200262/agentic-project-management: stateless Planner/Manager/Worker over a canonical .apm/ tree + per-agent file mailboxes  •  automazeio/ccpm: GitHub Issues is the shared memory; agents coordinate via issue comments, never holding state  •  ruvnet/claude-flow: blackboard swarm/* key-space is the sole coordination channel — agents poll, never message peers","automazeio/ccpm, sdi2200262/agentic-project-management, ruvnet/claude-flow (rebranded ""ruflo""), msitarzewski/agency-agents"
CM-32,Corroboration-gated promotion,2,A concept/entity earns a durable first-class page only when independently mentioned ≥2 times across distinct sources; single-source mentions stay transient — counting signal prevents one-off noise from polluting the KB.,"iusztinpaul/ai-research-os-workshop: page created only at mention_count>=2 across distinct sources; research-lint flags hubs at >=3  •  huytieu/COG-second-brain: profile detail (stub→moderate→full) unlocked by cross-source mention count, never assumed","huytieu/COG-second-brain, iusztinpaul/ai-research-os-workshop"
CM-33,Cost-as-governing-constraint,3,"Spend is a first-class governance gate, not telemetry: free-tier/model pins, a cost ledger, named retrieval cost-mode bundles, and threshold alerts wired into the OS as halting checkpoints.",modimihir07/agentic-os: constitution Cost Consciousness pins free models; cost-analytics alerts at 80/90/95% of settings.json limits  •  garrytan/gbrain: 3 frozen retrieval cost-mode bundles (conservative/balanced/tokenmax) with a published $/mo cost matrix  •  smixs/agent-second-brain: all agent work driven through one subscription-billed Claude Code session to avoid per-token API charges,"modimihir07/agentic-os, garrytan/gbrain, smixs/agent-second-brain"
CM-34,Deterministic completion oracle / anti-fake gate,1,"A runtime check that statically or by re-execution proves work is genuinely done — sandbox re-run emitting an unfakable ship token, reachability/orphan classification, or per-phase typed-evidence gate — blocking scaffolded-but-unwired code from counting as shipped.","anombyte93/prd-taskmaster: ship-check.py re-executes operator tests in an isolated podman sandbox, fail-closed, emitting SHIP_CHECK_OK exactly once; Gate-6 reachability sweep downgrades ORPHAN modules to scaffold and blocks them",anombyte93/prd-taskmaster
CM-35,Generated-counter integrity / doc-drift CI gate,3,"A CI script derives headline counts and cross-references from the actual directory tree and fails the build if committed docs (README/CLAUDE.md/manifests) disagree, keeping a large monorepo's self-description from drifting.","alirezarezvani/claude-skills: derive_counters.py --check walks the tree and fails CI if asserted skill/agent/command counts mismatch  •  wshobson/agents: doc_gardener (make garden) flags dead links, stale generated files, oversized skills as a commit gate  •  coreyhaines31/marketingskills: sync-skills.yml regenerates marketplace/plugin/README index FROM the skills folder and self-commits","alirezarezvani/claude-skills, wshobson/agents, coreyhaines31/marketingskills"
